*Active occupancy Model
*Simulation Run Output Sheet

Refer to "I. Richardson, M. Thomson, D. Infield, A high-resolution domestic building occupancy model for energy demand simulations, Energy and Buildings 40 (8) (2008) 1560-1566."

Ten minute period number	Ten minute period start time	Number of active occupants (left axis)
1	00:00:00	1
2	00:10:00	1
3	00:20:00	1
4	00:30:00	1
5	00:40:00	0
6	00:50:00	0
7	01:00:00	0
8	01:10:00	0
9	01:20:00	0
10	01:30:00	0
11	01:40:00	0
12	01:50:00	0
13	02:00:00	0
14	02:10:00	0
15	02:20:00	0
16	02:30:00	0
17	02:40:00	0
18	02:50:00	0
19	03:00:00	0
20	03:10:00	0
21	03:20:00	0
22	03:30:00	0
23	03:40:00	0
24	03:50:00	0
25	04:00:00	0
26	04:10:00	0
27	04:20:00	0
28	04:30:00	0
29	04:40:00	0
30	04:50:00	0
31	05:00:00	0
32	05:10:00	0
33	05:20:00	0
34	05:30:00	0
35	05:40:00	0
36	05:50:00	0
37	06:00:00	0
38	06:10:00	0
39	06:20:00	0
40	06:30:00	0
41	06:40:00	0
42	06:50:00	0
43	07:00:00	0
44	07:10:00	0
45	07:20:00	0
46	07:30:00	0
47	07:40:00	0
48	07:50:00	0
49	08:00:00	1
50	08:10:00	1
51	08:20:00	1
52	08:30:00	1
53	08:40:00	1
54	08:50:00	1
55	09:00:00	1
56	09:10:00	1
57	09:20:00	1
58	09:30:00	1
59	09:40:00	2
60	09:50:00	2
61	10:00:00	2
62	10:10:00	2
63	10:20:00	2
64	10:30:00	2
65	10:40:00	2
66	10:50:00	2
67	11:00:00	2
68	11:10:00	2
69	11:20:00	2
70	11:30:00	1
71	11:40:00	1
72	11:50:00	1
73	12:00:00	1
74	12:10:00	1
75	12:20:00	1
76	12:30:00	1
77	12:40:00	1
78	12:50:00	1
79	13:00:00	1
80	13:10:00	1
81	13:20:00	1
82	13:30:00	1
83	13:40:00	1
84	13:50:00	1
85	14:00:00	1
86	14:10:00	1
87	14:20:00	1
88	14:30:00	1
89	14:40:00	1
90	14:50:00	1
91	15:00:00	1
92	15:10:00	1
93	15:20:00	1
94	15:30:00	1
95	15:40:00	2
96	15:50:00	1
97	16:00:00	2
98	16:10:00	2
99	16:20:00	2
100	16:30:00	2
101	16:40:00	2
102	16:50:00	2
103	17:00:00	2
104	17:10:00	2
105	17:20:00	2
106	17:30:00	2
107	17:40:00	2
108	17:50:00	2
109	18:00:00	2
110	18:10:00	3
111	18:20:00	3
112	18:30:00	3
113	18:40:00	3
114	18:50:00	3
115	19:00:00	2
116	19:10:00	2
117	19:20:00	2
118	19:30:00	1
119	19:40:00	1
120	19:50:00	1
121	20:00:00	1
122	20:10:00	1
123	20:20:00	1
124	20:30:00	1
125	20:40:00	1
126	20:50:00	1
127	21:00:00	1
128	21:10:00	1
129	21:20:00	1
130	21:30:00	1
131	21:40:00	1
132	21:50:00	1
133	22:00:00	2
134	22:10:00	2
135	22:20:00	2
136	22:30:00	2
137	22:40:00	3
138	22:50:00	3
139	23:00:00	1
140	23:10:00	1
141	23:20:00	0
142	23:30:00	0
143	23:40:00	0
144	23:50:00	0
